Region,Peak Demand (in %),% of time of year
North-Eastern Region,55.0,60.0
Northen Region,60.0,60.0
Southern Region,71.0,60.0
Western Region,78.0,60.0
National,82.0,60.0
Eastern Region,68.0,60.0
North-Eastern Region,55.0,60.0
Northen Region,60.0,60.0
Southern Region,71.0,60.0
Western Region,78.0,60.0
National,82.0,60.0
Eastern Region,68.0,60.0
North-Eastern Region,55.0,60.0
Northen Region,60.0,60.0
Southern Region,71.0,60.0
Western Region,78.0,60.0
National,82.0,60.0
Eastern Region,68.0,60.0
North-Eastern Region,55.0,60.0
Northen Region,60.0,60.0
Southern Region,71.0,60.0
Western Region,78.0,60.0
National,82.0,60.0
Eastern Region,68.0,60.0
North-Eastern Region,55.0,60.0
Northen Region,60.0,60.0
Southern Region,71.0,60.0
Western Region,78.0,60.0
National,82.0,60.0
Eastern Region,68.0,60.0
North-Eastern Region,55.0,60.0
Northen Region,60.0,60.0
Southern Region,71.0,60.0
Western Region,78.0,60.0
National,82.0,60.0
Eastern Region,68.0,60.0
North-Eastern Region,55.0,60.0
Northen Region,60.0,60.0
Southern Region,71.0,60.0
Western Region,78.0,60.0
National,82.0,60.0
Eastern Region,68.0,60.0
North-Eastern Region,55.0,60.0
Northen Region,60.0,60.0
Southern Region,71.0,60.0
Western Region,78.0,60.0
National,82.0,60.0
Eastern Region,68.0,60.0
North-Eastern Region,55.0,60.0
Northen Region,60.0,60.0
Southern Region,71.0,60.0
Western Region,78.0,60.0
National,82.0,60.0
Eastern Region,68.0,60.0
North-Eastern Region,55.0,60.0
Northen Region,60.0,60.0
Southern Region,71.0,60.0
Western Region,78.0,60.0
National,82.0,60.0
Eastern Region,68.0,60.0
North-Eastern Region,55.0,60.0
Northen Region,60.0,60.0
Southern Region,71.0,60.0
Western Region,78.0,60.0
National,82.0,60.0
Eastern Region,68.0,60.0
North-Eastern Region,55.0,60.0
Northen Region,60.0,60.0
Southern Region,71.0,60.0
Western Region,78.0,60.0
National,82.0,60.0
Eastern Region,68.0,60.0
North-Eastern Region,55.0,60.0
Northen Region,60.0,60.0
Southern Region,71.0,60.0
Western Region,78.0,60.0
National,82.0,60.0
Eastern Region,68.0,60.0
North-Eastern Region,55.0,60.0
Northen Region,60.0,60.0
Southern Region,71.0,60.0
Western Region,78.0,60.0
National,82.0,60.0
Eastern Region,68.0,60.0
North-Eastern Region,55.0,60.0
Northen Region,60.0,60.0
Southern Region,71.0,60.0
Western Region,78.0,60.0
National,82.0,60.0
Eastern Region,68.0,60.0
North-Eastern Region,55.0,60.0
Northen Region,60.0,60.0
Southern Region,71.0,60.0
Western Region,78.0,60.0
National,82.0,61.0
Eastern Region,68.0,61.0
North-Eastern Region,55.0,61.0
Northen Region,60.0,61.0
Southern Region,71.0,61.0
Western Region,78.0,61.0
National,82.0,61.0
Eastern Region,68.0,61.0
North-Eastern Region,55.0,61.0
Northen Region,60.0,61.0
Southern Region,71.0,61.0
Western Region,78.0,61.0
National,82.0,61.0
Eastern Region,68.0,61.0
North-Eastern Region,55.0,61.0
Northen Region,60.0,61.0
Southern Region,71.0,61.0
Western Region,78.0,61.0
National,82.0,61.0
Eastern Region,68.0,61.0
North-Eastern Region,55.0,61.0
Northen Region,60.0,61.0
Southern Region,71.0,61.0
Western Region,78.0,61.0
National,82.0,61.0
Eastern Region,68.0,61.0
North-Eastern Region,55.0,61.0
Northen Region,60.0,61.0
Southern Region,71.0,61.0
Western Region,78.0,61.0
National,82.0,61.0
Eastern Region,68.0,61.0
North-Eastern Region,55.0,61.0
Northen Region,60.0,61.0
Southern Region,71.0,61.0
Western Region,78.0,61.0
National,82.0,61.0
Eastern Region,68.0,61.0
North-Eastern Region,55.0,61.0
Northen Region,60.0,61.0
Southern Region,71.0,61.0
Western Region,78.0,61.0
National,82.0,61.0
Eastern Region,68.0,61.0
North-Eastern Region,55.0,61.0
Northen Region,60.0,61.0
Southern Region,71.0,61.0
Western Region,78.0,61.0
National,82.0,61.0
Eastern Region,68.0,61.0
North-Eastern Region,55.0,61.0
Northen Region,60.0,61.0
Southern Region,71.0,61.0
Western Region,78.0,61.0
National,82.0,61.0
Eastern Region,68.0,61.0
North-Eastern Region,55.0,61.0
Northen Region,60.0,61.0
Southern Region,71.0,61.0
Western Region,78.0,61.0
National,82.0,61.0
Eastern Region,68.0,61.0
North-Eastern Region,55.0,61.0
Northen Region,60.0,61.0
Southern Region,71.0,61.0
Western Region,78.0,61.0
National,82.0,61.0
Eastern Region,68.0,61.0
North-Eastern Region,55.0,61.0
Northen Region,60.0,61.0
Southern Region,71.0,61.0
Western Region,78.0,61.0
National,82.0,61.0
Eastern Region,68.0,61.0
North-Eastern Region,55.0,61.0
Northen Region,60.0,61.0
Southern Region,71.0,61.0
Western Region,78.0,61.0
National,82.0,61.0
Eastern Region,68.0,61.0
North-Eastern Region,55.0,61.0
Northen Region,60.0,61.0
Southern Region,71.0,61.0
Western Region,78.0,61.0
National,82.0,61.0
Eastern Region,68.0,61.0
North-Eastern Region,55.0,61.0
Northen Region,60.0,61.0
Southern Region,71.0,61.0
Western Region,78.0,61.0
National,82.0,61.0
Eastern Region,68.0,61.0
North-Eastern Region,55.0,61.0
Northen Region,60.0,61.0
Southern Region,71.0,61.0
Western Region,78.0,61.0
National,82.0,61.0
Eastern Region,68.0,61.0
North-Eastern Region,55.0,61.0
Northen Region,60.0,61.0
Southern Region,71.0,61.0
Western Region,78.0,61.0
National,82.0,61.0
Eastern Region,68.0,61.0
North-Eastern Region,55.0,61.0
Northen Region,60.0,61.0
Southern Region,71.0,61.0
Western Region,78.0,61.0
National,82.0,61.0
Eastern Region,68.0,61.0
North-Eastern Region,55.0,61.0
Northen Region,60.0,61.0
Southern Region,71.0,61.0
Western Region,78.0,61.0
National,82.0,61.0
Eastern Region,68.0,61.0
North-Eastern Region,55.0,61.0
Northen Region,60.0,61.0
Southern Region,71.0,61.0
Western Region,78.0,61.0
National,82.0,61.0
Eastern Region,68.0,61.0
North-Eastern Region,55.0,61.0
Northen Region,60.0,61.0
Southern Region,71.0,61.0
Western Region,78.0,61.0
National,82.0,61.0
Eastern Region,68.0,61.0
North-Eastern Region,55.0,61.0
Northen Region,60.0,61.0
Southern Region,71.0,61.0
Western Region,78.0,61.0
National,82.0,61.0
Eastern Region,68.0,61.0
North-Eastern Region,55.0,61.0
Northen Region,60.0,61.0
Southern Region,71.0,61.0
Western Region,78.0,61.0
National,82.0,61.0
Eastern Region,68.0,61.0
North-Eastern Region,55.0,61.0
Northen Region,60.0,61.0
Southern Region,71.0,61.0
Western Region,78.0,61.0
National,82.0,61.0
Eastern Region,68.0,61.0
North-Eastern Region,55.0,61.0
Northen Region,60.0,61.0
Southern Region,71.0,61.0
Western Region,78.0,61.0
National,82.0,61.0
Eastern Region,68.0,61.0
North-Eastern Region,55.0,61.0
Northen Region,60.0,61.0
Southern Region,71.0,61.0
Western Region,78.0,61.0
National,82.0,61.0
Eastern Region,68.0,61.0
North-Eastern Region,55.0,61.0
Northen Region,60.0,61.0
Southern Region,71.0,61.0
Western Region,78.0,61.0
National,82.0,61.0
Eastern Region,68.0,61.0
North-Eastern Region,55.0,61.0
Northen Region,60.0,61.0
Southern Region,71.0,61.0
Western Region,78.0,61.0
National,82.0,61.0
Eastern Region,68.0,61.0
North-Eastern Region,55.0,61.0
Northen Region,60.0,61.0
Southern Region,71.0,61.0
Western Region,78.0,61.0
National,82.0,61.0
Eastern Region,68.0,61.0
North-Eastern Region,55.0,61.0
Northen Region,60.0,61.0
Southern Region,71.0,61.0
Western Region,78.0,61.0
National,82.0,61.0
Eastern Region,68.0,61.0
North-Eastern Region,55.0,61.0
Northen Region,60.0,61.0
Southern Region,71.0,61.0
Western Region,78.0,61.0
National,82.0,61.0
Eastern Region,68.0,61.0
North-Eastern Region,55.0,61.0
Northen Region,60.0,61.0
Southern Region,71.0,61.0
Western Region,78.0,61.0
National,82.0,61.0
Eastern Region,68.0,61.0
North-Eastern Region,55.0,61.0
Northen Region,60.0,61.0
Southern Region,71.0,61.0
Western Region,78.0,61.0
National,82.0,61.0
Eastern Region,68.0,61.0
North-Eastern Region,55.0,61.0
Northen Region,60.0,61.0
Southern Region,71.0,61.0
Western Region,78.0,61.0
National,82.0,61.0
Eastern Region,68.0,61.0
North-Eastern Region,55.0,61.0
Northen Region,60.0,61.0
Southern Region,71.0,61.0
Western Region,78.0,61.0
National,82.0,61.0
Eastern Region,68.0,61.0
North-Eastern Region,55.0,61.0
Northen Region,60.0,61.0
Southern Region,71.0,61.0
Western Region,78.0,61.0
National,82.0,61.0
Eastern Region,68.0,61.0
North-Eastern Region,55.0,61.0
Northen Region,60.0,61.0
Southern Region,71.0,61.0
Western Region,78.0,61.0
National,82.0,61.0
Eastern Region,68.0,61.0
North-Eastern Region,55.0,61.0
Northen Region,60.0,61.0
Southern Region,71.0,61.0
Western Region,78.0,61.0
National,82.0,61.0
Eastern Region,68.0,61.0
North-Eastern Region,55.0,61.0
Northen Region,60.0,61.0
Southern Region,71.0,61.0
Western Region,77.0,61.0
National,82.0,61.0
Eastern Region,68.0,61.0
North-Eastern Region,55.0,61.0
Northen Region,60.0,61.0
Southern Region,71.0,61.0
Western Region,77.0,61.0
National,82.0,61.0
Eastern Region,68.0,61.0
North-Eastern Region,55.0,61.0
Northen Region,60.0,61.0
Southern Region,71.0,61.0
Western Region,77.0,61.0
National,81.0,61.0
Eastern Region,68.0,61.0
North-Eastern Region,55.0,61.0
Northen Region,60.0,61.0
Southern Region,71.0,61.0
Western Region,77.0,61.0
National,81.0,61.0
Eastern Region,68.0,61.0
North-Eastern Region,55.0,61.0
Northen Region,60.0,61.0
Southern Region,71.0,61.0
Western Region,77.0,61.0
National,81.0,62.0
Eastern Region,68.0,62.0
North-Eastern Region,55.0,62.0
Northen Region,60.0,62.0
Southern Region,71.0,62.0
Western Region,77.0,62.0
National,81.0,62.0
Eastern Region,68.0,62.0
North-Eastern Region,55.0,62.0
Northen Region,60.0,62.0
Southern Region,71.0,62.0
Western Region,77.0,62.0
National,81.0,62.0
Eastern Region,68.0,62.0
North-Eastern Region,55.0,62.0
Northen Region,60.0,62.0
Southern Region,71.0,62.0
Western Region,77.0,62.0
National,81.0,62.0
Eastern Region,68.0,62.0
North-Eastern Region,55.0,62.0
Northen Region,60.0,62.0
Southern Region,71.0,62.0
Western Region,77.0,62.0
National,81.0,62.0
Eastern Region,68.0,62.0
North-Eastern Region,55.0,62.0
Northen Region,60.0,62.0
Southern Region,71.0,62.0
Western Region,77.0,62.0
National,81.0,62.0
Eastern Region,68.0,62.0
North-Eastern Region,55.0,62.0
Northen Region,60.0,62.0
Southern Region,71.0,62.0
Western Region,77.0,62.0
National,81.0,62.0
Eastern Region,68.0,62.0
North-Eastern Region,55.0,62.0
Northen Region,60.0,62.0
Southern Region,71.0,62.0
Western Region,77.0,62.0
National,81.0,62.0
Eastern Region,68.0,62.0
North-Eastern Region,55.0,62.0
Northen Region,60.0,62.0
Southern Region,71.0,62.0
Western Region,77.0,62.0
National,81.0,62.0
Eastern Region,68.0,62.0
North-Eastern Region,55.0,62.0
Northen Region,60.0,62.0
Southern Region,71.0,62.0
Western Region,77.0,62.0
National,81.0,62.0
Eastern Region,68.0,62.0
North-Eastern Region,55.0,62.0
Northen Region,60.0,62.0
Southern Region,71.0,62.0
Western Region,77.0,62.0
National,81.0,62.0
Eastern Region,68.0,62.0
North-Eastern Region,55.0,62.0
Northen Region,60.0,62.0
Southern Region,71.0,62.0
Western Region,77.0,62.0
National,81.0,62.0
Eastern Region,68.0,62.0
North-Eastern Region,55.0,62.0
Northen Region,60.0,62.0
Southern Region,71.0,62.0
Western Region,77.0,62.0
National,81.0,62.0
Eastern Region,68.0,62.0
North-Eastern Region,55.0,62.0
Northen Region,60.0,62.0
Southern Region,71.0,62.0
Western Region,77.0,62.0
National,81.0,62.0
Eastern Region,68.0,62.0
North-Eastern Region,55.0,62.0
Northen Region,60.0,62.0
Southern Region,71.0,62.0
Western Region,77.0,62.0
National,81.0,62.0
Eastern Region,68.0,62.0
North-Eastern Region,55.0,62.0
Northen Region,60.0,62.0
Southern Region,71.0,62.0
Western Region,77.0,62.0
National,81.0,62.0
Eastern Region,68.0,62.0
North-Eastern Region,55.0,62.0
Northen Region,60.0,62.0
Southern Region,71.0,62.0
Western Region,77.0,62.0
National,81.0,62.0
Eastern Region,68.0,62.0
North-Eastern Region,55.0,62.0
Northen Region,60.0,62.0
Southern Region,71.0,62.0
Western Region,77.0,62.0
National,81.0,62.0
Eastern Region,68.0,62.0
North-Eastern Region,55.0,62.0
Northen Region,60.0,62.0
Southern Region,71.0,62.0
Western Region,77.0,62.0
National,81.0,62.0
Eastern Region,68.0,62.0
North-Eastern Region,55.0,62.0
Northen Region,60.0,62.0
Southern Region,71.0,62.0
Western Region,77.0,62.0
National,81.0,62.0
Eastern Region,68.0,62.0
North-Eastern Region,55.0,62.0
Northen Region,60.0,62.0
Southern Region,71.0,62.0
Western Region,77.0,62.0
National,81.0,62.0
Eastern Region,68.0,62.0
North-Eastern Region,55.0,62.0
Northen Region,59.0,62.0
Southern Region,71.0,62.0
Western Region,77.0,62.0
National,81.0,62.0
Eastern Region,68.0,62.0
North-Eastern Region,55.0,62.0
Northen Region,59.0,62.0
Southern Region,71.0,62.0
Western Region,77.0,62.0
National,81.0,62.0
Eastern Region,68.0,62.0
North-Eastern Region,55.0,62.0
Northen Region,59.0,62.0
Southern Region,71.0,62.0
Western Region,77.0,62.0
National,81.0,62.0
Eastern Region,68.0,62.0
North-Eastern Region,55.0,62.0
Northen Region,59.0,62.0
Southern Region,71.0,62.0
Western Region,77.0,62.0
National,81.0,62.0
Eastern Region,68.0,62.0
North-Eastern Region,55.0,62.0
Northen Region,59.0,62.0
Southern Region,71.0,62.0
Western Region,77.0,62.0
National,81.0,62.0
Eastern Region,68.0,62.0
North-Eastern Region,55.0,62.0
Northen Region,59.0,62.0
Southern Region,71.0,62.0
Western Region,77.0,62.0
National,81.0,62.0
Eastern Region,68.0,62.0
North-Eastern Region,55.0,62.0
Northen Region,59.0,62.0
Southern Region,71.0,62.0
Western Region,77.0,62.0
National,81.0,62.0
Eastern Region,68.0,62.0
North-Eastern Region,55.0,62.0
Northen Region,59.0,62.0
Southern Region,71.0,62.0
Western Region,77.0,62.0
National,81.0,62.0
Eastern Region,67.0,62.0
North-Eastern Region,55.0,62.0
Northen Region,59.0,62.0
Southern Region,71.0,62.0
Western Region,77.0,62.0
National,81.0,62.0
Eastern Region,67.0,62.0
North-Eastern Region,55.0,62.0
Northen Region,59.0,62.0
Southern Region,71.0,62.0
Western Region,77.0,62.0
National,81.0,62.0
Eastern Region,67.0,62.0
North-Eastern Region,55.0,62.0
Northen Region,59.0,62.0
Southern Region,71.0,62.0
Western Region,77.0,62.0
National,81.0,62.0
Eastern Region,67.0,62.0
North-Eastern Region,55.0,62.0
Northen Region,59.0,62.0
Southern Region,71.0,62.0
Western Region,77.0,62.0
National,81.0,62.0
Eastern Region,67.0,62.0
North-Eastern Region,55.0,62.0
Northen Region,59.0,62.0
Southern Region,71.0,62.0
Western Region,77.0,62.0
National,81.0,62.0
Eastern Region,67.0,62.0
North-Eastern Region,55.0,62.0
Northen Region,59.0,62.0
Southern Region,71.0,62.0
Western Region,77.0,62.0
National,81.0,62.0
Eastern Region,67.0,62.0
North-Eastern Region,55.0,62.0
Northen Region,59.0,62.0
Southern Region,71.0,62.0
Western Region,77.0,62.0
National,81.0,62.0
Eastern Region,67.0,62.0
North-Eastern Region,55.0,62.0
Northen Region,59.0,62.0
Southern Region,71.0,62.0
Western Region,77.0,62.0
National,81.0,62.0
Eastern Region,67.0,62.0
North-Eastern Region,55.0,62.0
Northen Region,59.0,62.0
Southern Region,71.0,62.0
Western Region,77.0,62.0
National,81.0,62.0
Eastern Region,67.0,62.0
North-Eastern Region,55.0,62.0
Northen Region,59.0,62.0
Southern Region,71.0,62.0
Western Region,77.0,62.0
National,81.0,62.0
Eastern Region,67.0,62.0
North-Eastern Region,55.0,62.0
Northen Region,59.0,62.0
Southern Region,71.0,62.0
Western Region,77.0,62.0
National,81.0,62.0
Eastern Region,67.0,62.0
North-Eastern Region,55.0,62.0
Northen Region,59.0,62.0
Southern Region,71.0,62.0
Western Region,77.0,62.0
National,81.0,62.0
Eastern Region,67.0,62.0
North-Eastern Region,55.0,62.0
Northen Region,59.0,62.0
Southern Region,71.0,62.0
Western Region,77.0,62.0
National,81.0,62.0
Eastern Region,67.0,62.0
North-Eastern Region,55.0,62.0
Northen Region,59.0,62.0
Southern Region,71.0,62.0
Western Region,77.0,62.0
National,81.0,62.0
Eastern Region,67.0,62.0
North-Eastern Region,55.0,62.0
Northen Region,59.0,62.0
Southern Region,71.0,62.0
Western Region,77.0,62.0
National,81.0,63.0
Eastern Region,67.0,63.0
North-Eastern Region,55.0,63.0
Northen Region,59.0,63.0
Southern Region,71.0,63.0
Western Region,77.0,63.0
National,81.0,63.0
Eastern Region,67.0,63.0
North-Eastern Region,55.0,63.0
Northen Region,59.0,63.0
Southern Region,71.0,63.0
Western Region,77.0,63.0
National,81.0,63.0
Eastern Region,67.0,63.0
North-Eastern Region,55.0,63.0
Northen Region,59.0,63.0
Southern Region,71.0,63.0
Western Region,77.0,63.0
National,81.0,63.0
Eastern Region,67.0,63.0
North-Eastern Region,55.0,63.0
Northen Region,59.0,63.0
Southern Region,71.0,63.0
Western Region,77.0,63.0
National,81.0,63.0
Eastern Region,67.0,63.0
North-Eastern Region,55.0,63.0
Northen Region,59.0,63.0
Southern Region,71.0,63.0
Western Region,77.0,63.0
National,81.0,63.0
Eastern Region,67.0,63.0
North-Eastern Region,55.0,63.0
Northen Region,59.0,63.0
Southern Region,71.0,63.0
Western Region,77.0,63.0
National,81.0,63.0
Eastern Region,67.0,63.0
North-Eastern Region,55.0,63.0
Northen Region,59.0,63.0
Southern Region,71.0,63.0
Western Region,77.0,63.0
National,81.0,63.0
Eastern Region,67.0,63.0
North-Eastern Region,55.0,63.0
Northen Region,59.0,63.0
Southern Region,71.0,63.0
Western Region,77.0,63.0
National,81.0,63.0
Eastern Region,67.0,63.0
North-Eastern Region,55.0,63.0
Northen Region,59.0,63.0
Southern Region,71.0,63.0
Western Region,77.0,63.0
National,81.0,63.0
Eastern Region,67.0,63.0
North-Eastern Region,55.0,63.0
Northen Region,59.0,63.0
Southern Region,71.0,63.0
Western Region,77.0,63.0
National,81.0,63.0
Eastern Region,67.0,63.0
North-Eastern Region,55.0,63.0
Northen Region,59.0,63.0
Southern Region,71.0,63.0
Western Region,77.0,63.0
National,81.0,63.0
Eastern Region,67.0,63.0
North-Eastern Region,55.0,63.0
Northen Region,59.0,63.0
Southern Region,71.0,63.0
Western Region,77.0,63.0
National,81.0,63.0
Eastern Region,67.0,63.0
North-Eastern Region,55.0,63.0
Northen Region,59.0,63.0
Southern Region,71.0,63.0
Western Region,77.0,63.0
National,81.0,63.0
Eastern Region,67.0,63.0
North-Eastern Region,55.0,63.0
Northen Region,59.0,63.0
Southern Region,71.0,63.0
Western Region,77.0,63.0
National,81.0,63.0
Eastern Region,67.0,63.0
North-Eastern Region,55.0,63.0
Northen Region,59.0,63.0
Southern Region,71.0,63.0
Western Region,77.0,63.0
National,81.0,63.0
Eastern Region,67.0,63.0
North-Eastern Region,55.0,63.0
Northen Region,59.0,63.0
Southern Region,71.0,63.0
Western Region,77.0,63.0
National,81.0,63.0
Eastern Region,67.0,63.0
North-Eastern Region,55.0,63.0
Northen Region,59.0,63.0
Southern Region,71.0,63.0
Western Region,77.0,63.0
National,81.0,63.0
Eastern Region,67.0,63.0
North-Eastern Region,54.0,63.0
Northen Region,59.0,63.0
Southern Region,71.0,63.0
Western Region,77.0,63.0
National,81.0,63.0
Eastern Region,67.0,63.0
North-Eastern Region,54.0,63.0
Northen Region,59.0,63.0
Southern Region,71.0,63.0
Western Region,77.0,63.0
National,81.0,63.0
Eastern Region,67.0,63.0
North-Eastern Region,54.0,63.0
Northen Region,59.0,63.0
Southern Region,71.0,63.0
Western Region,77.0,63.0
National,81.0,63.0
Eastern Region,67.0,63.0
North-Eastern Region,54.0,63.0
Northen Region,59.0,63.0
Southern Region,71.0,63.0
Western Region,77.0,63.0
National,81.0,63.0
Eastern Region,67.0,63.0
North-Eastern Region,54.0,63.0
Northen Region,59.0,63.0
Southern Region,71.0,63.0
Western Region,77.0,63.0
National,81.0,63.0
Eastern Region,67.0,63.0
North-Eastern Region,54.0,63.0
Northen Region,59.0,63.0
Southern Region,71.0,63.0
Western Region,77.0,63.0
National,81.0,63.0
Eastern Region,67.0,63.0
North-Eastern Region,54.0,63.0
Northen Region,59.0,63.0
Southern Region,71.0,63.0
Western Region,77.0,63.0
National,81.0,63.0
Eastern Region,67.0,63.0
North-Eastern Region,54.0,63.0
Northen Region,59.0,63.0
Southern Region,71.0,63.0
Western Region,77.0,63.0
National,81.0,63.0
Eastern Region,67.0,63.0
North-Eastern Region,54.0,63.0
Northen Region,59.0,63.0
Southern Region,71.0,63.0
Western Region,77.0,63.0
National,81.0,63.0
Eastern Region,67.0,63.0
North-Eastern Region,54.0,63.0
Northen Region,59.0,63.0
Southern Region,71.0,63.0
Western Region,77.0,63.0
National,81.0,63.0
Eastern Region,67.0,63.0
North-Eastern Region,54.0,63.0
Northen Region,59.0,63.0
Southern Region,71.0,63.0
Western Region,77.0,63.0
National,81.0,63.0
Eastern Region,67.0,63.0
North-Eastern Region,54.0,63.0
Northen Region,59.0,63.0
Southern Region,71.0,63.0
Western Region,77.0,63.0
National,81.0,63.0
Eastern Region,67.0,63.0
North-Eastern Region,54.0,63.0
Northen Region,59.0,63.0
Southern Region,71.0,63.0
Western Region,77.0,63.0
National,81.0,63.0
Eastern Region,67.0,63.0
North-Eastern Region,54.0,63.0
Northen Region,59.0,63.0
Southern Region,71.0,63.0
Western Region,77.0,63.0
National,81.0,63.0
Eastern Region,67.0,63.0
North-Eastern Region,54.0,63.0
Northen Region,59.0,63.0
Southern Region,71.0,63.0
Western Region,77.0,63.0
National,81.0,63.0
Eastern Region,67.0,63.0
North-Eastern Region,54.0,63.0
Northen Region,59.0,63.0
Southern Region,71.0,63.0
Western Region,77.0,63.0
National,81.0,63.0
Eastern Region,67.0,63.0
North-Eastern Region,54.0,63.0
Northen Region,59.0,63.0
Southern Region,71.0,63.0
Western Region,77.0,63.0
National,81.0,63.0
Eastern Region,67.0,63.0
North-Eastern Region,54.0,63.0
Northen Region,59.0,63.0
Southern Region,71.0,63.0
Western Region,77.0,63.0
National,81.0,63.0
Eastern Region,67.0,63.0
North-Eastern Region,54.0,63.0
Northen Region,59.0,63.0
Southern Region,71.0,63.0
Western Region,77.0,63.0
National,81.0,63.0
Eastern Region,67.0,63.0
North-Eastern Region,54.0,63.0
Northen Region,59.0,63.0
Southern Region,71.0,63.0
Western Region,77.0,63.0
National,81.0,63.0
Eastern Region,67.0,63.0
North-Eastern Region,54.0,63.0
Northen Region,59.0,63.0
Southern Region,71.0,63.0
Western Region,77.0,63.0
National,81.0,63.0
Eastern Region,67.0,63.0
North-Eastern Region,54.0,63.0
Northen Region,59.0,63.0
Southern Region,71.0,63.0
Western Region,77.0,63.0
National,81.0,63.0
Eastern Region,67.0,63.0
North-Eastern Region,54.0,63.0
Northen Region,59.0,63.0
Southern Region,71.0,63.0
Western Region,77.0,63.0
National,81.0,63.0
Eastern Region,67.0,63.0
North-Eastern Region,54.0,63.0
Northen Region,59.0,63.0
Southern Region,71.0,63.0
Western Region,77.0,63.0
National,81.0,63.0
Eastern Region,67.0,63.0
North-Eastern Region,54.0,63.0
Northen Region,59.0,63.0
Southern Region,71.0,63.0
Western Region,77.0,63.0
National,81.0,63.0
Eastern Region,67.0,63.0
North-Eastern Region,54.0,63.0
Northen Region,59.0,63.0
Southern Region,71.0,63.0
Western Region,77.0,63.0
National,81.0,63.0
Eastern Region,67.0,63.0
North-Eastern Region,54.0,63.0
Northen Region,59.0,63.0
Southern Region,71.0,63.0
Western Region,77.0,63.0
National,81.0,64.0
Eastern Region,67.0,64.0
North-Eastern Region,54.0,64.0
Northen Region,59.0,64.0
Southern Region,71.0,64.0
Western Region,77.0,64.0
National,81.0,64.0
Eastern Region,67.0,64.0
North-Eastern Region,54.0,64.0
Northen Region,59.0,64.0
Southern Region,71.0,64.0
Western Region,77.0,64.0
National,81.0,64.0
Eastern Region,67.0,64.0
North-Eastern Region,54.0,64.0
Northen Region,59.0,64.0
Southern Region,70.0,64.0
Western Region,77.0,64.0
National,81.0,64.0
Eastern Region,67.0,64.0
North-Eastern Region,54.0,64.0
Northen Region,59.0,64.0
Southern Region,70.0,64.0
Western Region,77.0,64.0
National,81.0,64.0
Eastern Region,67.0,64.0
North-Eastern Region,54.0,64.0
Northen Region,59.0,64.0
Southern Region,70.0,64.0
Western Region,77.0,64.0
National,81.0,64.0
Eastern Region,67.0,64.0
North-Eastern Region,54.0,64.0
Northen Region,59.0,64.0
Southern Region,70.0,64.0
Western Region,77.0,64.0
National,81.0,64.0
Eastern Region,67.0,64.0
North-Eastern Region,54.0,64.0
Northen Region,59.0,64.0
Southern Region,70.0,64.0
Western Region,77.0,64.0
National,81.0,64.0
Eastern Region,67.0,64.0
North-Eastern Region,54.0,64.0
Northen Region,59.0,64.0
Southern Region,70.0,64.0
Western Region,77.0,64.0
National,81.0,64.0
Eastern Region,67.0,64.0
North-Eastern Region,54.0,64.0
Northen Region,59.0,64.0
Southern Region,70.0,64.0
Western Region,77.0,64.0
National,81.0,64.0
Eastern Region,67.0,64.0
North-Eastern Region,54.0,64.0
Northen Region,59.0,64.0
Southern Region,70.0,64.0
Western Region,77.0,64.0
National,81.0,64.0
Eastern Region,67.0,64.0
North-Eastern Region,54.0,64.0
Northen Region,59.0,64.0
Southern Region,70.0,64.0
Western Region,77.0,64.0
National,81.0,64.0
Eastern Region,67.0,64.0
North-Eastern Region,54.0,64.0
Northen Region,59.0,64.0
Southern Region,70.0,64.0
Western Region,77.0,64.0
National,81.0,64.0
Eastern Region,67.0,64.0
North-Eastern Region,54.0,64.0
Northen Region,59.0,64.0
Southern Region,70.0,64.0
Western Region,77.0,64.0
National,81.0,64.0
Eastern Region,67.0,64.0
North-Eastern Region,54.0,64.0
Northen Region,59.0,64.0
Southern Region,70.0,64.0
Western Region,77.0,64.0
National,81.0,64.0
Eastern Region,67.0,64.0
North-Eastern Region,54.0,64.0
Northen Region,59.0,64.0
Southern Region,70.0,64.0
Western Region,77.0,64.0
National,81.0,64.0
Eastern Region,67.0,64.0
North-Eastern Region,54.0,64.0
Northen Region,59.0,64.0
Southern Region,70.0,64.0
Western Region,77.0,64.0
National,81.0,64.0
Eastern Region,67.0,64.0
North-Eastern Region,54.0,64.0
Northen Region,59.0,64.0
Southern Region,70.0,64.0
Western Region,77.0,64.0
National,81.0,64.0
Eastern Region,67.0,64.0
North-Eastern Region,54.0,64.0
Northen Region,59.0,64.0
Southern Region,70.0,64.0
Western Region,77.0,64.0
National,81.0,64.0
Eastern Region,67.0,64.0
North-Eastern Region,54.0,64.0
Northen Region,59.0,64.0
Southern Region,70.0,64.0
Western Region,77.0,64.0
National,81.0,64.0
Eastern Region,67.0,64.0
North-Eastern Region,54.0,64.0
Northen Region,59.0,64.0
Southern Region,70.0,64.0
Western Region,77.0,64.0
National,81.0,64.0
Eastern Region,67.0,64.0
North-Eastern Region,54.0,64.0
Northen Region,59.0,64.0
Southern Region,70.0,64.0
Western Region,77.0,64.0
National,81.0,64.0
Eastern Region,67.0,64.0
North-Eastern Region,54.0,64.0
Northen Region,59.0,64.0
Southern Region,70.0,64.0
Western Region,77.0,64.0
National,81.0,64.0
Eastern Region,67.0,64.0
North-Eastern Region,54.0,64.0
Northen Region,59.0,64.0
